ERP001 vs ERP002,0.750511
ERP002 vs ERP003,0.803227
ERP003 vs ERP004,0.476574
ERP004 vs ERP005,0.638839
ERP005 vs ERP006,0.955003
ERP006 vs ERP007,0.821952
ERP007 vs ERP008,0.794012
ERP008 vs ERP009,0.824406
ERP009 vs ERP0010,0.893751
ERP0010 vs ERP0011,0.882173
ERP0011 vs ERP0012,0.862101
ERP0012 vs ERP0013,0.734759
ERP0013 vs ERP0014,0.734322
ERP0014 vs ERP0015,0.61838
ERP0015 vs ERP0016,0.830583
ERP0016 vs ERP0017,0.792247
ERP0017 vs ERP0018,0.821886
ERP0018 vs ERP0019,0.929874
ERP0019 vs ERP0020,0.731215
ERP0020 vs ERP0021,0.837725
ERP0021 vs ERP0022,0.881031
ERP0022 vs ERP0023,0.837668
ERP0023 vs ERP0024,0.847869
ERP0024 vs ERP0025,0.799138
ERP0025 vs ERP0026,0.817912
ERP0026 vs ERP0027,0.818913
ERP0027 vs ERP0028,0.714219
ERP0028 vs ERP0029,0.695465
ERP0029 vs ERP0030,0.696501
ERP0030 vs ERP0031,0.865861
ERP0031 vs ERP0032,0.88893
ERP0032 vs ERP0033,0.803745
ERP0033 vs ERP0034,0.655436
ERP0034 vs ERP0035,0.635336
ERP0035 vs ERP0036,0.741926
ERP0036 vs ERP0037,0.661073
ERP0037 vs ERP0038,0.872782
ERP0038 vs ERP0039,0.872629
ERP0039 vs ERP0040,0.768927
ERP0040 vs ERP0041,0.685246
ERP0041 vs ERP0042,0.420794
ERP0042 vs ERP0043,0.674909
ERP0043 vs ERP0044,0.839079
ERP0044 vs ERP0045,0.697275
ERP0045 vs ERP0046,0.78223
ERP0046 vs ERP0047,0.790657
ERP0047 vs ERP0048,0.73475
ERP0048 vs ERP0049,0.51936
ERP0049 vs ERP0050,0.596167
ERP0050 vs ERP0051,0.628331
ERP0051 vs ERP0052,0.712612
ERP0052 vs ERP0053,0.848559
ERP0053 vs ERP0054,0.780993
ERP0054 vs ERP0055,0.591745
ERP0055 vs ERP0056,0.636313
ERP0056 vs ERP0057,0.531183
ERP0057 vs ERP0058,0.762326
ERP0058 vs ERP0059,0.898571
ERP0059 vs ERP0060,0.730156
